2025-12-13 18:42:42 | INFO | train_base_models | [Categorical_Flags] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_XGBoost_fold2.pkl
2025-12-13 18:42:42 | INFO | train_base_models | [Categorical_Flags] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_XGBoost_fold3.pkl
2025-12-13 18:42:43 | INFO | train_base_models | [Categorical_Flags] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_XGBoost_fold4.pkl
2025-12-13 18:42:43 | INFO | train_base_models | [Categorical_Flags] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_XGBoost_fold5.pkl
2025-12-13 18:42:43 | INFO | train_base_models | [Categorical_Flags] [XGBoost] FINAL OOF AUC = 0.7256
2025-12-13 18:42:43 | INFO | train_base_models | [Categorical_Flags] ▶ Training model: GBDT
2025-12-13 18:42:54 | INFO | train_base_models | [Categorical_Flags] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_GBDT_fold1.pkl
2025-12-13 18:43:06 | INFO | train_base_models | [Categorical_Flags] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_GBDT_fold2.pkl
2025-12-13 18:43:17 | INFO | train_base_models | [Categorical_Flags] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_GBDT_fold3.pkl
2025-12-13 18:43:29 | INFO | train_base_models | [Categorical_Flags] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_GBDT_fold4.pkl
2025-12-13 18:43:40 | INFO | train_base_models | [Categorical_Flags] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_GBDT_fold5.pkl
2025-12-13 18:43:40 | INFO | train_base_models | [Categorical_Flags] [GBDT] FINAL OOF AUC = 0.7254
2025-12-13 18:43:40 | INFO | train_base_models | [Categorical_Flags] ▶ Training model: AdaBoost
2025-12-13 18:43:47 | INFO | train_base_models | [Categorical_Flags] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_AdaBoost_fold1.pkl
2025-12-13 18:43:53 | INFO | train_base_models | [Categorical_Flags] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_AdaBoost_fold2.pkl
2025-12-13 18:44:00 | INFO | train_base_models | [Categorical_Flags] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_AdaBoost_fold3.pkl
2025-12-13 18:44:07 | INFO | train_base_models | [Categorical_Flags] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_AdaBoost_fold4.pkl
2025-12-13 18:44:13 | INFO | train_base_models | [Categorical_Flags] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_AdaBoost_fold5.pkl
2025-12-13 18:44:14 | INFO | train_base_models | [Categorical_Flags] [AdaBoost] FINAL OOF AUC = 0.6780
